Polyelectrolytes;D01.248.249
Cyclooxygenase 2 Inhibitors;D27.505.954.158.030.500.500
Demulcents;D27.505.954.158.515
Antineoplastic Agents;D27.505.954.248
Angiogenesis Inhibitors;D27.505.954.248.025
Antibiotics, Antineoplastic;D27.505.954.248.106
Anticarcinogenic Agents;D27.505.954.248.125
Antimetabolites, Antineoplastic;D27.505.954.248.144
Antimitotic Agents;D27.505.954.248.147
Antineoplastic Agents, Alkylating;D27.505.954.248.150
Antineoplastic Agents, Hormonal;D27.505.954.248.169
Antineoplastic Agents, Phytogenic;D27.505.954.248.179
Myeloablative Agonists;D27.505.954.248.589
Poly(ADP-ribose) Polymerase Inhibitors;D27.505.954.248.692
Topoisomerase Inhibitors;D27.505.954.248.794
Topoisomerase I Inhibitors;D27.505.954.248.794.500
Topoisomerase II Inhibitors;D27.505.954.248.794.750
Antirheumatic Agents;D27.505.954.329
Anti-Inflammatory Agents, Non-Steroidal;D27.505.954.329.030
Cyclooxygenase Inhibitors;D27.505.954.329.030.500
Cyclooxygenase 2 Inhibitors;D27.505.954.329.030.500.500
Gout Suppressants;D27.505.954.329.337
Uricosuric Agents;D27.505.954.329.337.900
Cardiovascular Agents;D27.505.954.411
Anti-Arrhythmia Agents;D27.505.954.411.097
Antihypertensive Agents;D27.505.954.411.162
Calcium Channel Blockers;D27.505.954.411.192
Cardioplegic Solutions;D27.505.954.411.207
Cardiotonic Agents;D27.505.954.411.222
Fibrinolytic Agents;D27.505.954.411.320
Natriuretic Agents;D27.505.954.411.455
Nitric Oxide Donors;D27.505.954.411.590
Potassium Channel Blockers;D27.505.954.411.645
Sclerosing Solutions;D27.505.954.411.700
Sodium Channel Blockers;D27.505.954.411.720
Voltage-Gated Sodium Channel Blockers;D27.505.954.411.720.500
Vasoconstrictor Agents;D27.505.954.411.793
Calcium Channel Agonists;D27.505.954.411.793.205
Nasal Decongestants;D27.505.954.411.793.610
Vasodilator Agents;D27.505.954.411.918
Endothelium-Dependent Relaxing Factors;D27.505.954.411.918.500
Central Nervous System Agents;D27.505.954.427
Adjuvants, Anesthesia;D27.505.954.427.010
Alcohol Deterrents;D27.505.954.427.020
Analgesics;D27.505.954.427.040
Analgesics, Non-Narcotic;D27.505.954.427.040.100
Analgesics, Short-Acting;D27.505.954.427.040.381
Dentin Desensitizing Agents;D27.505.954.427.040.437
Narcotics;D27.505.954.427.040.550
Analgesics, Opioid;D27.505.954.427.040.550.500
Anticonvulsants;D27.505.954.427.080
Anti-Dyskinesia Agents;D27.505.954.427.090
Antiparkinson Agents;D27.505.954.427.090.050
Aromatic Amino Acid Decarboxylase Inhibitors;D27.505.954.427.090.050.249
Catechol O-Methyltransferase Inhibitors;D27.505.954.427.090.050.500
Antiemetics;D27.505.954.427.095
Anti-Obesity Agents;D27.505.954.427.140
Appetite Depressants;D27.505.954.427.140.155
Antitussive Agents;D27.505.954.427.153
Central Nervous System Depressants;D27.505.954.427.210
Anesthetics;D27.505.954.427.210.100
Anesthetics, Combined;D27.505.954.427.210.100.017
Anesthetics, General;D27.505.954.427.210.100.035
Anesthetics, Inhalation;D27.505.954.427.210.100.035.060
Anesthetics, Intravenous;D27.505.954.427.210.100.035.075
Anesthetics, Dissociative;D27.505.954.427.210.100.035.075.035
Anesthetics, Local;D27.505.954.427.210.100.200
Hypnotics and Sedatives;D27.505.954.427.210.350
Narcotics;D27.505.954.427.210.600
Analgesics, Opioid;D27.505.954.427.210.600.500
Tranquilizing Agents;D27.505.954.427.210.950
Anti-Anxiety Agents;D27.505.954.427.210.950.015
Antimanic Agents;D27.505.954.427.210.950.025
Antipsychotic Agents;D27.505.954.427.210.950.040
Central Nervous System Stimulants;D27.505.954.427.220
Aphrodisiacs;D27.505.954.427.220.045
Appetite Stimulants;D27.505.954.427.220.050
Convulsants;D27.505.954.427.220.224
Wakefulness-Promoting Agents;D27.505.954.427.220.612
Emetics;D27.505.954.427.270
Muscle Relaxants, Central;D27.505.954.427.525
Narcotic Antagonists;D27.505.954.427.550
Neuroprotective Agents;D27.505.954.427.575
Nootropic Agents;D27.505.954.427.637
Psychotropic Drugs;D27.505.954.427.700
Antidepressive Agents;D27.505.954.427.700.122
Antidepressive Agents, Second-Generation;D27.505.954.427.700.122.050
Antidepressive Agents, Tricyclic;D27.505.954.427.700.122.055
Hallucinogens;D27.505.954.427.700.372
Tranquilizing Agents;D27.505.954.427.700.872
Anti-Anxiety Agents;D27.505.954.427.700.872.015
Antimanic Agents;D27.505.954.427.700.872.025
Antipsychotic Agents;D27.505.954.427.700.872.331
Dermatologic Agents;D27.505.954.444
Antipruritics;D27.505.954.444.075
Astringents;D27.505.954.444.100
Emollients;D27.505.954.444.200
Keratolytic Agents;D27.505.954.444.400
Photosensitizing Agents;D27.505.954.444.600
Sunscreening Agents;D27.505.954.444.695
Gastrointestinal Agents;D27.505.954.483
Antacids;D27.505.954.483.080
Antidiarrheals;D27.505.954.483.161
Antiemetics;D27.505.954.483.200
Anti-Ulcer Agents;D27.505.954.483.203
Cathartics;D27.505.954.483.396
Cholagogues and Choleretics;D27.505.954.483.508
Demulcents;D27.505.954.483.534
Emetics;D27.505.954.483.560
Laxatives;D27.505.954.483.620
Lipotropic Agents;D27.505.954.483.680
Hematologic Agents;D27.505.954.502
Anticoagulants;D27.505.954.502.119
Antithrombins;D27.505.954.502.119.500
Factor Xa Inhibitors;D27.505.954.502.119.500.500
Antisickling Agents;D27.505.954.502.135
Blood Substitutes;D27.505.954.502.140
Plasma Substitutes;D27.505.954.502.140.500
Coagulants;D27.505.954.502.270
Hemostatics;D27.505.954.502.270.463
Antifibrinolytic Agents;D27.505.954.502.270.463.091
Heparin Antagonists;D27.505.954.502.270.546
Fibrinolytic Agents;D27.505.954.502.427
Hematinics;D27.505.954.502.543
Platelet Aggregation Inhibitors;D27.505.954.502.780
Lipid Regulating Agents;D27.505.954.557
Hypolipidemic Agents;D27.505.954.557.500
Anticholesteremic Agents;D27.505.954.557.500.202
Hydroxymethylglutaryl-CoA Reductase Inhibitors;D27.505.954.557.500.202.370
Lipotropic Agents;D27.505.954.557.500.601
Lipoprotein Lipase Activators;D27.505.954.557.500.601.500
Pharmaceutical Solutions;D27.505.954.578
Cardioplegic Solutions;D27.505.954.578.322
Dialysis Solutions;D27.505.954.578.483
Hemodialysis Solutions;D27.505.954.578.483.651
Ophthalmic Solutions;D27.505.954.578.645
Lubricant Eye Drops;D27.505.954.578.645.500
Parenteral Nutrition Solutions;D27.505.954.578.733
Fat Emulsions, Intravenous;D27.505.954.578.733.500
Sclerosing Solutions;D27.505.954.578.822
Radiation-Sensitizing Agents;D27.505.954.600
Photosensitizing Agents;D27.505.954.600.710
Renal Agents;D27.505.954.613
Anti-Infective Agents, Urinary;D27.505.954.613.056
Uricosuric Agents;D27.505.954.613.860
Reproductive Control Agents;D27.505.954.705
Abortifacient Agents;D27.505.954.705.131
Abortifacient Agents, Nonsteroidal;D27.505.954.705.131.100
Abortifacient Agents, Steroidal;D27.505.954.705.131.200
Contraceptive Agents;D27.505.954.705.360
Contraceptive Agents, Female;D27.505.954.705.360.276
Contraceptives, Oral;D27.505.954.705.360.276.210
Contraceptives, Oral, Combined;D27.505.954.705.360.276.210.100
Contraceptives, Oral, Hormonal;D27.505.954.705.360.276.210.277
Contraceptives, Oral, Sequential;D27.505.954.705.360.276.210.400
Contraceptives, Oral, Synthetic;D27.505.954.705.360.276.210.443
Contraceptives, Postcoital;D27.505.954.705.360.276.310
Contraceptives, Postcoital, Hormonal;D27.505.954.705.360.276.310.235
Contraceptives, Postcoital, Synthetic;D27.505.954.705.360.276.310.360
Luteolytic Agents;D27.505.954.705.360.276.450
Menstruation-Inducing Agents;D27.505.954.705.360.276.500
Sperm Immobilizing Agents;D27.505.954.705.360.276.727
Spermatocidal Agents;D27.505.954.705.360.276.827
Contraceptive Agents, Male;D27.505.954.705.360.443
Antispermatogenic Agents;D27.505.954.705.360.443.068
Spermatogenesis-Blocking Agents;D27.505.954.705.360.443.068.760
Fertility Agents;D27.505.954.705.552
Fertility Agents, Female;D27.505.954.705.552.344
Fertility Agents, Male;D27.505.954.705.552.510
Luteolytic Agents;D27.505.954.705.610
Menstruation-Inducing Agents;D27.505.954.705.650
Oxytocics;D27.505.954.705.737
Tocolytic Agents;D27.505.954.705.825
Respiratory System Agents;D27.505.954.796
Anti-Asthmatic Agents;D27.505.954.796.050
Bronchodilator Agents;D27.505.954.796.050.100
Antitussive Agents;D27.505.954.796.090
Bronchoconstrictor Agents;D27.505.954.796.170
Demulcents;D27.505.954.796.210
Expectorants;D27.505.954.796.250
Nasal Decongestants;D27.505.954.796.560
Pulmonary Surfactants;D27.505.954.796.600
Sleep Aids, Pharmaceutical;D27.505.954.842
Orexin Receptor Antagonists;D27.505.954.842.500
Stimulants, Historical;D27.505.954.888
Urological Agents;D27.505.954.944
Specialty Uses of Chemicals;D27.720
Adhesives;D27.720.013
Agrochemicals;D27.720.031
Fertilizers;D27.720.031.400
Pesticides;D27.720.031.700
Acaricides;D27.720.031.700.071
Chemosterilants;D27.720.031.700.141
Fungicides, Industrial;D27.720.031.700.288
Herbicides;D27.720.031.700.366
Defoliants, Chemical;D27.720.031.700.366.181
Insect Repellents;D27.720.031.700.441
Insecticides;D27.720.031.700.491
Molluscacides;D27.720.031.700.596
Pesticide Residues;D27.720.031.700.672
Pesticide Synergists;D27.720.031.700.748
Rodenticides;D27.720.031.700.853
Antistatic Agents;D27.720.066
Biomedical and Dental Materials;D27.720.102
Biocompatible Materials;D27.720.102.130
Bone Cements;D27.720.102.158
Cariogenic Agents;D27.720.102.187
Cariostatic Agents;D27.720.102.223
Dental Materials;D27.720.102.339
Photoinitiators, Dental;D27.720.102.339.249
Pulp Capping and Pulpectomy Agents;D27.720.102.339.500
Dermal Fillers;D27.720.102.461
Mouthwashes;D27.720.102.583
Tissue Adhesives;D27.720.102.919
Caustics;D27.720.185
Coloring Agents;D27.720.233
Chromogenic Compounds;D27.720.233.174
Fluorescent Dyes;D27.720.233.348
Food Coloring Agents;D27.720.233.674
Hair Dyes;D27.720.233.837
Contrast Media;D27.720.259
Cosmetics;D27.720.269
Antiperspirants;D27.720.269.189
Cosmeceuticals;D27.720.269.285
Dentifrices;D27.720.269.380
Deodorants;D27.720.269.385
Hair Preparations;D27.720.269.430
Hair Bleaching Agents;D27.720.269.430.214
Hair Dyes;D27.720.269.430.430
Mouthwashes;D27.720.269.583
Perfume;D27.720.269.700
Skin Lightening Preparations;D27.720.269.750
Sunscreening Agents;D27.720.269.800
Disinfectants;D27.720.274
Contact Lens Solutions;D27.720.274.150
Dental Disinfectants;D27.720.274.300
Root Canal Irrigants;D27.720.274.300.500
Hand Sanitizers;D27.720.274.650
Explosive Agents;D27.720.317
Fixatives;D27.720.355
Flame Retardants;D27.720.361
Flavoring Agents;D27.720.364
Sweetening Agents;D27.720.364.609
Non-Nutritive Sweeteners;D27.720.364.609.500
Nutritive Sweeteners;D27.720.364.609.750
Food Additives;D27.720.368
Fat Substitutes;D27.720.368.350
Food Coloring Agents;D27.720.368.355
Food Preservatives;D27.720.368.385
Hygroscopic Agents;D27.720.369
Ionophores;D27.720.395
Calcium Ionophores;D27.720.395.100
Potassium Ionophores;D27.720.395.400
Proton Ionophores;D27.720.395.500
Sodium Ionophores;D27.720.395.750
Irritants;D27.720.400
Laboratory Chemicals;D27.720.470
Buffers;D27.720.470.280
Ampholyte Mixtures;D27.720.470.280.060
Culture Media;D27.720.470.305
Culture Media, Conditioned;D27.720.470.305.250
Culture Media, Serum-Free;D27.720.470.305.255
Indicators and Reagents;D27.720.470.410
Affinity Labels;D27.720.470.410.080
Photoaffinity Labels;D27.720.470.410.080.600
Chromogenic Compounds;D27.720.470.410.200
Cross-Linking Reagents;D27.720.470.410.210
Intercalating Agents;D27.720.470.410.360
Luminescent Agents;D27.720.470.410.505
Fluorescent Dyes;D27.720.470.410.505.500
Neuronal Tract-Tracers;D27.720.470.410.577
Radiopharmaceuticals;D27.720.470.410.650
Reagent Kits, Diagnostic;D27.720.470.410.680
Reagent Strips;D27.720.470.410.680.680
Reducing Agents;D27.720.470.410.690
Sulfhydryl Reagents;D27.720.470.410.700
Thiobarbituric Acid Reactive Substances;D27.720.470.410.750
Ion Exchange Resins;D27.720.470.420
Anion Exchange Resins;D27.720.470.420.050
Cation Exchange Resins;D27.720.470.420.275
Ligands;D27.720.470.480
Molecular Probes;D27.720.470.530
Nucleic Acid Probes;D27.720.470.530.600
Antisense Elements (Genetics);D27.720.470.530.600.150
DNA, Antisense;D27.720.470.530.600.150.200
Oligodeoxyribonucleotides, Antisense;D27.720.470.530.600.150.200.640
Oligonucleotides, Antisense;D27.720.470.530.600.150.640
Oligodeoxyribonucleotides, Antisense;D27.720.470.530.600.150.640.640
Oligoribonucleotides, Antisense;D27.720.470.530.600.150.640.645
RNA, Antisense;D27.720.470.530.600.150.760
Oligoribonucleotides, Antisense;D27.720.470.530.600.150.760.645
DNA Probes;D27.720.470.530.600.223
DNA, Complementary;D27.720.470.530.600.223.260
DNA Primers;D27.720.470.530.600.223.600
DNA Probes, HLA;D27.720.470.530.600.223.615
DNA Probes, HPV;D27.720.470.530.600.223.620
Oligonucleotide Probes;D27.720.470.530.600.650
RNA Probes;D27.720.470.530.600.825
RNA, Complementary;D27.720.470.530.600.825.840
Small Molecule Libraries;D27.720.470.765
Lubricants;D27.720.556
Lubricant Eye Drops;D27.720.556.249
Viscosupplements;D27.720.556.500
Nerve Agents;D27.720.599
Oxidants;D27.720.642
Bleaching Agents;D27.720.642.315
Hair Bleaching Agents;D27.720.642.315.249
Tooth Bleaching Agents;D27.720.642.315.500
Oxidants, Photochemical;D27.720.642.631
Pharmaceutic Aids;D27.720.744
Adjuvants, Pharmaceutic;D27.720.744.064
Ointment Bases;D27.720.744.523
Pharmaceutical Vehicles;D27.720.744.770
Excipients;D27.720.744.770.419
Preservatives, Pharmaceutical;D27.720.744.771
Pharmaceutical Solutions;D27.720.752
Cardioplegic Solutions;D27.720.752.322
Dialysis Solutions;D27.720.752.483
Hemodialysis Solutions;D27.720.752.483.651
Ophthalmic Solutions;D27.720.752.608
Lubricant Eye Drops;D27.720.752.608.500
Parenteral Nutrition Solutions;D27.720.752.733
Fat Emulsions, Intravenous;D27.720.752.733.500
Sclerosing Solutions;D27.720.752.822
Plasticizers;D27.720.760
Poisons;D27.720.777
Chemical Warfare Agents;D27.720.777.300
Nerve Agents;D27.720.777.300.500
Protective Agents;D27.720.799
Anticarcinogenic Agents;D27.720.799.018
Antidotes;D27.720.799.037
Antimutagenic Agents;D27.720.799.042
Antioxidants;D27.720.799.047
Cardiotonic Agents;D27.720.799.080
Cariostatic Agents;D27.720.799.113
Cryoprotective Agents;D27.720.799.180
Radiation-Protective Agents;D27.720.799.763
Sunscreening Agents;D27.720.799.763.764
Riot Control Agents, Chemical;D27.720.821
Tear Gases;D27.720.821.500
Sequestering Agents;D27.720.832
Chelating Agents;D27.720.832.500
Calcium Chelating Agents;D27.720.832.500.204
Iron Chelating Agents;D27.720.832.500.410
Siderophores;D27.720.832.500.410.750
Solvents;D27.720.844
Ionic Liquids;D27.720.844.500
Surface-Active Agents;D27.720.877
Antifoaming Agents;D27.720.877.048
Demulcents;D27.720.877.156
Detergents;D27.720.877.265
Soaps;D27.720.877.265.861
Emulsifying Agents;D27.720.877.383
Cerumenolytic Agents;D27.720.877.383.500
Immunosorbents;D27.720.877.501
Wetting Agents;D27.720.877.974
Sweetening Agents;D27.720.888
Non-Nutritive Sweeteners;D27.720.888.500
Nutritive Sweeteners;D27.720.888.750
Viscoelastic Substances;D27.720.944
Viscosupplements;D27.720.944.500
Toxic Actions;D27.888
Endocrine Disruptors;D27.888.141
Environmental Pollutants;D27.888.284
Air Pollutants;D27.888.284.101
Air Pollutants, Occupational;D27.888.284.101.268
Air Pollutants, Radioactive;D27.888.284.101.393
Soil Pollutants;D27.888.284.756
Soil Pollutants, Radioactive;D27.888.284.756.674
Water Pollutants;D27.888.284.903
Water Pollutants, Chemical;D27.888.284.903.655
Water Pollutants, Radioactive;D27.888.284.903.821
Hazardous Substances;D27.888.426
Hazardous Waste;D27.888.426.500
Radioactive Waste;D27.888.426.500.638
Noxae;D27.888.569
Alkylating Agents;D27.888.569.035
Antineoplastic Agents, Alkylating;D27.888.569.035.035
Antimetabolites;D27.888.569.042
Antimetabolites, Antineoplastic;D27.888.569.042.030
Antispermatogenic Agents;D27.888.569.071
Sperm Immobilizing Agents;D27.888.569.071.379
Spermatocidal Agents;D27.888.569.071.569
Spermatogenesis-Blocking Agents;D27.888.569.071.760
Carcinogens;D27.888.569.100
Carcinogens, Environmental;D27.888.569.100.125
Peroxisome Proliferators;D27.888.569.100.675
Cardiotoxins;D27.888.569.142
Caustics;D27.888.569.185
Cytostatic Agents;D27.888.569.199
Cytotoxins;D27.888.569.213
Hemolytic Agents;D27.888.569.213.444
Dermotoxins;D27.888.569.242
Immunotoxins;D27.888.569.271
Irritants;D27.888.569.300
Mutagens;D27.888.569.468
Aneugens;D27.888.569.468.060
Neurotoxins;D27.888.569.504
Oxidants;D27.888.569.540
Oxidants, Photochemical;D27.888.569.540.631
Poisons;D27.888.569.612
Chemical Warfare Agents;D27.888.569.612.150
Pyrogens;D27.888.569.673
Riot Control Agents, Chemical;D27.888.569.734
Tear Gases;D27.888.569.734.500
Teratogens;D27.888.569.864
Pesticides;D27.888.723
Acaricides;D27.888.723.071
Chemosterilants;D27.888.723.141
Fungicides, Industrial;D27.888.723.288
Herbicides;D27.888.723.366
Defoliants, Chemical;D27.888.723.366.181
Insect Repellents;D27.888.723.441
Insecticides;D27.888.723.491
Molluscacides;D27.888.723.596
Pesticide Residues;D27.888.723.697
Pesticide Synergists;D27.888.723.748
Rodenticides;D27.888.723.853
Diagnosis;E01
Clinical Decision-Making;E01.055
Delayed Diagnosis;E01.110
Diagnosis, Computer-Assisted;E01.158
Image Interpretation, Computer-Assisted;E01.158.600
Neuronavigation;E01.158.600.339
Radiographic Image Interpretation, Computer-Assisted;E01.158.600.680
Diagnosis, Differential;E01.171
Diagnosis, Dual (Psychiatry);E01.190
Diagnostic Errors;E01.354
False Negative Reactions;E01.354.340
False Positive Reactions;E01.354.506
Observer Variation;E01.354.753
Diagnostic Techniques and Procedures;E01.370
Age Determination by Skeleton;E01.370.049
Autopsy;E01.370.060
Breath Tests;E01.370.100
Clinical Laboratory Techniques;E01.370.225
Clinical Chemistry Tests;E01.370.225.124
Blood Chemical Analysis;E01.370.225.124.100
Blood Gas Analysis;E01.370.225.124.100.100
Oximetry;E01.370.225.124.100.100.600
Blood Gas Monitoring, Transcutaneous;E01.370.225.124.100.100.600.100
Blood Glucose Self-Monitoring;E01.370.225.124.100.105
Blood Protein Electrophoresis;E01.370.225.124.100.110
Blood Urea Nitrogen;E01.370.225.124.100.115
Dried Blood Spot Testing;E01.370.225.124.100.232
Glucose Clamp Technique;E01.370.225.124.100.350
Glucose Tolerance Test;E01.370.225.124.100.355
Lactose Tolerance Test;E01.370.225.124.100.450
Petrosal Sinus Sampling;E01.370.225.124.100.600
Clinical Enzyme Tests;E01.370.225.124.200
Gastric Acidity Determination;E01.370.225.124.300
Limulus Test;E01.370.225.124.470
Urinalysis;E01.370.225.124.810
Cytological Techniques;E01.370.225.500
Cell Count;E01.370.225.500.195
Blood Cell Count;E01.370.225.500.195.107
Erythrocyte Count;E01.370.225.500.195.107.330
Reticulocyte Count;E01.370.225.500.195.107.330.725
Leukocyte Count;E01.370.225.500.195.107.595
Lymphocyte Count;E01.370.225.500.195.107.595.500
CD4 Lymphocyte Count;E01.370.225.500.195.107.595.500.150
CD4-CD8 Ratio;E01.370.225.500.195.107.595.500.150.160
Platelet Count;E01.370.225.500.195.107.740
Sperm Count;E01.370.225.500.195.870
Cell Culture Techniques;E01.370.225.500.223
Primary Cell Culture;E01.370.225.500.223.500
Cell Migration Assays;E01.370.225.500.335
Cell Migration Assays, Leukocyte;E01.370.225.500.335.500
Cell Migration Assays, Macrophage;E01.370.225.500.335.750
Skin Window Technique;E01.370.225.500.335.875
Cell Separation;E01.370.225.500.363
Flow Cytometry;E01.370.225.500.363.342
Cell Tracking;E01.370.225.500.373
Colony-Forming Units Assay;E01.370.225.500.383
Tumor Stem Cell Assay;E01.370.225.500.383.910
Cytodiagnosis;E01.370.225.500.384
Amniocentesis;E01.370.225.500.384.050
Biopsy;E01.370.225.500.384.100
Biopsy, Needle;E01.370.225.500.384.100.119
Biopsy, Fine-Needle;E01.370.225.500.384.100.119.500
Endoscopic Ultrasound-Guided Fine Needle Aspiration;E01.370.225.500.384.100.119.500.500
Biopsy, Large-Core Needle;E01.370.225.500.384.100.119.750
Chorionic Villi Sampling;E01.370.225.500.384.100.149
Conization;E01.370.225.500.384.100.160
Image-Guided Biopsy;E01.370.225.500.384.100.370
Endoscopic Ultrasound-Guided Fine Needle Aspiration;E01.370.225.500.384.100.370.500
Papanicolaou Test;E01.370.225.500.384.100.422
Sentinel Lymph Node Biopsy;E01.370.225.500.384.100.580
Vaginal Smears;E01.370.225.500.384.100.800
Cytopathogenic Effect, Viral;E01.370.225.500.384.235
Karyometry;E01.370.225.500.384.617
Cytogenetic Analysis;E01.370.225.500.385
Chromosome Banding;E01.370.225.500.385.130
Karyotyping;E01.370.225.500.385.315
Spectral Karyotyping;E01.370.225.500.385.315.800
Mitotic Index;E01.370.225.500.385.500
Cytophotometry;E01.370.225.500.386
Flow Cytometry;E01.370.225.500.386.350
Image Cytometry;E01.370.225.500.386.400
Laser Scanning Cytometry;E01.370.225.500.386.400.500
Drug Screening Assays, Antitumor;E01.370.225.500.388
Tumor Stem Cell Assay;E01.370.225.500.388.930
Enzyme-Linked Immunospot Assay;E01.370.225.500.508
Histocytochemistry;E01.370.225.500.607
Immunohistochemistry;E01.370.225.500.607.512
Fluorescent Antibody Technique;E01.370.225.500.607.512.240
Antibody-Coated Bacteria Test, Urinary;E01.370.225.500.607.512.240.149
Fluorescent Antibody Technique, Direct;E01.370.225.500.607.512.240.300
Fluorescent Antibody Technique, Indirect;E01.370.225.500.607.512.240.310
Fluoroimmunoassay;E01.370.225.500.607.512.240.655
Fluorescence Polarization Immunoassay;E01.370.225.500.607.512.240.655.350
Periodic Acid-Schiff Reaction;E01.370.225.500.607.790
Prussian Blue Reaction;E01.370.225.500.607.810
Histocytological Preparation Techniques;E01.370.225.500.620
Microdissection;E01.370.225.500.620.520
Microtomy;E01.370.225.500.620.530
Cryoultramicrotomy;E01.370.225.500.620.530.160
Frozen Sections;E01.370.225.500.620.530.160.260
Replica Techniques;E01.370.225.500.620.620
Corrosion Casting;E01.370.225.500.620.620.150
Freeze Fracturing;E01.370.225.500.620.620.260
Freeze Etching;E01.370.225.500.620.620.260.400
Staining and Labeling;E01.370.225.500.620.670
Chromosome Banding;E01.370.225.500.620.670.130
In Situ Hybridization;E01.370.225.500.620.670.325
In Situ Hybridization, Fluorescence;E01.370.225.500.620.670.325.350
Chromosome Painting;E01.370.225.500.620.670.325.350.125
Primed In Situ Labeling;E01.370.225.500.620.670.325.680
Negative Staining;E01.370.225.500.620.670.520
Neuroanatomical Tract-Tracing Techniques;E01.370.225.500.620.670.570
Periodic Acid-Schiff Reaction;E01.370.225.500.620.670.615
Prussian Blue Reaction;E01.370.225.500.620.670.660
Shadowing (Histology);E01.370.225.500.620.670.770
Silver Staining;E01.370.225.500.620.670.780
Tissue Embedding;E01.370.225.500.620.720
Paraffin Embedding;E01.370.225.500.620.720.610
Plastic Embedding;E01.370.225.500.620.720.640
Tissue Preservation;E01.370.225.500.620.760
Cryopreservation;E01.370.225.500.620.760.160
Freeze Drying;E01.370.225.500.620.760.160.260
Freeze Substitution;E01.370.225.500.620.760.160.260.270
Tissue Fixation;E01.370.225.500.620.760.720
Metabolic Flux Analysis;E01.370.225.500.810
Genetic Testing;E01.370.225.562
Pharmacogenomic Testing;E01.370.225.562.500
Hematologic Tests;E01.370.225.625
Blood Cell Count;E01.370.225.625.107
Erythrocyte Count;E01.370.225.625.107.330
Reticulocyte Count;E01.370.225.625.107.330.725
Leukocyte Count;E01.370.225.625.107.595
Lymphocyte Count;E01.370.225.625.107.595.500
CD4 Lymphocyte Count;E01.370.225.625.107.595.500.150
CD4-CD8 Ratio;E01.370.225.625.107.595.500.150.160
Platelet Count;E01.370.225.625.107.700
Blood Coagulation Tests;E01.370.225.625.115
International Normalized Ratio;E01.370.225.625.115.320
Partial Thromboplastin Time;E01.370.225.625.115.600
Prothrombin Time;E01.370.225.625.115.610
Thrombelastography;E01.370.225.625.115.830
Thrombin Time;E01.370.225.625.115.870
Whole Blood Coagulation Time;E01.370.225.625.115.950
Blood Grouping and Crossmatching;E01.370.225.625.120
Blood Sedimentation;E01.370.225.625.125
Bone Marrow Examination;E01.370.225.625.135
Erythrocyte Aggregation;E01.370.225.625.225
Erythrocyte Indices;E01.370.225.625.230
Fibrin Clot Lysis Time;E01.370.225.625.265
FIGLU Test;E01.370.225.625.300
Hematocrit;E01.370.225.625.400
Hemoglobinometry;E01.370.225.625.410
Osmotic Fragility;E01.370.225.625.550
Platelet Function Tests;E01.370.225.625.625
Bleeding Time;E01.370.225.625.625.100
Clot Retraction;E01.370.225.625.625.160
Mean Platelet Volume;E01.370.225.625.625.392
Platelet Count;E01.370.225.625.625.625
Schilling Test;E01.370.225.625.750
Histological Techniques;E01.370.225.750
Autoradiography;E01.370.225.750.132
Decalcification Technique;E01.370.225.750.288
Histocytochemistry;E01.370.225.750.551
Immunohistochemistry;E01.370.225.750.551.512
Fluorescent Antibody Technique;E01.370.225.750.551.512.240
Antibody-Coated Bacteria Test, Urinary;E01.370.225.750.551.512.240.149
Fluorescent Antibody Technique, Direct;E01.370.225.750.551.512.240.300
Fluorescent Antibody Technique, Indirect;E01.370.225.750.551.512.240.310
Fluoroimmunoassay;E01.370.225.750.551.512.240.655
Fluorescence Polarization Immunoassay;E01.370.225.750.551.512.240.655.350
Periodic Acid-Schiff Reaction;E01.370.225.750.551.790
Prussian Blue Reaction;E01.370.225.750.551.810
Histocytological Preparation Techniques;E01.370.225.750.600
Microdissection;E01.370.225.750.600.520
Microtomy;E01.370.225.750.600.530
Cryoultramicrotomy;E01.370.225.750.600.530.160
Frozen Sections;E01.370.225.750.600.530.160.260
Replica Techniques;E01.370.225.750.600.620
Corrosion Casting;E01.370.225.750.600.620.150
Freeze Fracturing;E01.370.225.750.600.620.260
Freeze Etching;E01.370.225.750.600.620.260.400
Staining and Labeling;E01.370.225.750.600.670
Chromosome Banding;E01.370.225.750.600.670.130
In Situ Hybridization;E01.370.225.750.600.670.325
In Situ Hybridization, Fluorescence;E01.370.225.750.600.670.325.350
Chromosome Painting;E01.370.225.750.600.670.325.350.125
Primed In Situ Labeling;E01.370.225.750.600.670.325.680
Negative Staining;E01.370.225.750.600.670.520
Neuroanatomical Tract-Tracing Techniques;E01.370.225.750.600.670.570
Prussian Blue Reaction;E01.370.225.750.600.670.660
Shadowing (Histology);E01.370.225.750.600.670.770
Silver Staining;E01.370.225.750.600.670.780
Tissue Embedding;E01.370.225.750.600.720
Paraffin Embedding;E01.370.225.750.600.720.610
Plastic Embedding;E01.370.225.750.600.720.640
Tissue Preservation;E01.370.225.750.600.760
Cryopreservation;E01.370.225.750.600.760.160
Freeze Drying;E01.370.225.750.600.760.160.260
Freeze Substitution;E01.370.225.750.600.760.160.260.270
Tissue Fixation;E01.370.225.750.600.760.720
Immunologic Tests;E01.370.225.812
Antibody-Coated Bacteria Test, Urinary;E01.370.225.812.049
Basophil Degranulation Test;E01.370.225.812.100
Cell Migration Assays;E01.370.225.812.125
Cell Migration Assays, Leukocyte;E01.370.225.812.125.500
Cell Migration Assays, Macrophage;E01.370.225.812.125.750
